timestamp,flight_id,aircraft_tail_num,flight_phase,altitude_ft,indicated_airspeed_knots,heading_deg,pitch_deg,roll_deg,pfd_voltage_v,mfd_voltage_v,display_alert_flag
2026-09-22 12:00:00,AA-2026,N942DB,TAKEOFF_CLIMB,232.5,141.0,270.1,5.0,-0.46,28.05,28.13,0
2026-09-22 12:00:04,AA-2026,N942DB,TAKEOFF_CLIMB,276.5,142.0,270.2,5.0,-0.2,28.38,28.07,0
2026-09-22 12:00:08,AA-2026,N942DB,TAKEOFF_CLIMB,316.1,142.5,270.1,5.0,0.1,27.72,27.98,0
2026-09-22 12:00:12,AA-2026,N942DB,TAKEOFF_CLIMB,353.1,143.4,270.1,5.0,0.22,28.0,27.99,0
2026-09-22 12:00:16,AA-2026,N942DB,TAKEOFF_CLIMB,381.2,144.2,270.2,5.0,0.17,28.1,28.17,0
2026-09-22 12:00:20,AA-2026,N942DB,TAKEOFF_CLIMB,409.4,145.1,270.3,5.0,-0.61,28.02,28.1,0
2026-09-22 12:00:24,AA-2026,N942DB,TAKEOFF_CLIMB,435.5,146.2,270.5,5.0,-0.14,27.98,28.09,0
2026-09-22 12:00:28,AA-2026,N942DB,TAKEOFF_CLIMB,477.8,147.3,270.3,5.0,-0.29,27.81,28.06,0
2026-09-22 12:00:32,AA-2026,N942DB,TAKEOFF_CLIMB,514.9,148.4,270.3,5.0,-0.09,28.03,28.07,0
2026-09-22 12:00:36,AA-2026,N942DB,TAKEOFF_CLIMB,554.0,149.6,270.2,5.0,-0.03,27.89,28.2,0
2026-09-22 12:00:40,AA-2026,N942DB,TAKEOFF_CLIMB,579.4,150.9,270.2,5.0,0.32,27.67,28.07,0
2026-09-22 12:00:44,AA-2026,N942DB,TAKEOFF_CLIMB,623.8,152.2,270.1,5.0,0.09,28.18,27.97,0
2026-09-22 12:00:48,AA-2026,N942DB,TAKEOFF_CLIMB,665.5,153.6,270.0,5.0,0.43,28.14,28.17,0
2026-09-22 12:00:52,AA-2026,N942DB,TAKEOFF_CLIMB,694.7,154.1,270.0,5.0,-0.21,28.01,28.08,0
2026-09-22 12:00:56,AA-2026,N942DB,TAKEOFF_CLIMB,723.4,154.8,270.0,5.0,-0.43,28.03,28.1,0
2026-09-22 12:01:00,AA-2026,N942DB,TAKEOFF_CLIMB,752.0,155.3,269.9,5.0,0.44,28.16,28.26,0
2026-09-22 12:01:04,AA-2026,N942DB,TAKEOFF_CLIMB,783.1,156.5,270.0,5.0,0.13,28.03,28.1,0
2026-09-22 12:01:08,AA-2026,N942DB,TAKEOFF_CLIMB,818.6,157.9,270.0,5.0,-0.22,28.14,28.13,0
2026-09-22 12:01:12,AA-2026,N942DB,TAKEOFF_CLIMB,852.3,158.6,269.8,5.0,0.13,27.96,27.98,0
2026-09-22 12:01:16,AA-2026,N942DB,TAKEOFF_CLIMB,883.1,160.1,269.9,5.0,0.25,28.2,28.08,0
2026-09-22 12:01:20,AA-2026,N942DB,TAKEOFF_CLIMB,920.3,160.6,269.8,5.0,0.04,28.05,28.16,0
2026-09-22 12:01:24,AA-2026,N942DB,TAKEOFF_CLIMB,948.1,162.0,269.8,5.0,-0.22,28.03,27.94,0
2026-09-22 12:01:28,AA-2026,N942DB,TAKEOFF_CLIMB,979.0,162.9,269.9,5.0,-0.13,27.81,28.12,0
2026-09-22 12:01:32,AA-2026,N942DB,TAKEOFF_CLIMB,1011.3,163.5,269.8,5.0,0.09,28.04,28.11,0
2026-09-22 12:01:36,AA-2026,N942DB,TAKEOFF_CLIMB,1045.4,164.5,269.7,5.0,0.06,27.88,28.1,0
2026-09-22 12:01:40,AA-2026,N942DB,TAKEOFF_CLIMB,1086.1,165.2,269.6,5.0,0.36,27.9,28.2,0
2026-09-22 12:01:44,AA-2026,N942DB,TAKEOFF_CLIMB,1115.1,166.0,269.8,5.0,-0.08,27.88,28.13,0
2026-09-22 12:01:48,AA-2026,N942DB,TAKEOFF_CLIMB,1150.4,166.8,269.8,5.0,-0.29,27.84,28.25,0
2026-09-22 12:01:52,AA-2026,N942DB,TAKEOFF_CLIMB,1187.2,168.1,269.9,5.0,0.77,28.32,28.0,0
2026-09-22 12:01:56,AA-2026,N942DB,TAKEOFF_CLIMB,1213.2,169.2,270.0,5.0,0.05,28.2,28.11,0
2026-09-22 12:02:00,AA-2026,N942DB,TAKEOFF_CLIMB,1250.3,170.0,269.8,5.0,0.25,28.29,28.11,0
2026-09-22 12:02:04,AA-2026,N942DB,TAKEOFF_CLIMB,1278.7,171.1,269.8,5.0,0.16,27.82,27.99,0
2026-09-22 12:02:08,AA-2026,N942DB,TAKEOFF_CLIMB,1305.0,172.3,269.9,5.0,0.06,28.01,28.2,0
2026-09-22 12:02:12,AA-2026,N942DB,TAKEOFF_CLIMB,1349.0,173.1,269.7,5.0,-0.07,27.81,28.33,0
