timestamp,flight_phase,pfd_autoflight_mode,mfd_active_page,indicated_airspeed_kts,altitude_ft,magnetic_heading_deg,pitch_attitude_deg,roll_attitude_deg,pfd_bus_voltage_v,display_brightness_pct
2026-09-22 12:00:00,TAKEOFF,SRS_GA,ENGINE_STATUS,3.1,13.8,90.0,10.93,0.78,28.13,84.9
2026-09-22 12:00:02,TAKEOFF,SRS_GA,ENGINE_STATUS,5.7,23.1,89.98,11.34,0.4,28.24,84.7
2026-09-22 12:00:04,TAKEOFF,SRS_GA,ENGINE_STATUS,8.8,36.0,89.99,12.9,0.18,28.37,85.0
2026-09-22 12:00:06,TAKEOFF,SRS_GA,ENGINE_STATUS,12.5,48.2,89.93,11.17,0.03,28.12,84.5
2026-09-22 12:00:08,TAKEOFF,SRS_GA,ENGINE_STATUS,15.2,59.7,89.85,12.74,0.55,28.18,84.9
2026-09-22 12:00:10,TAKEOFF,SRS_GA,ENGINE_STATUS,17.6,74.7,89.79,12.79,-0.28,28.32,84.7
2026-09-22 12:00:12,TAKEOFF,SRS_GA,ENGINE_STATUS,20.6,89.7,89.81,11.39,0.51,28.11,84.6
2026-09-22 12:00:14,TAKEOFF,SRS_GA,ENGINE_STATUS,24.0,95.5,89.83,11.83,-0.76,28.36,84.9
2026-09-22 12:00:16,TAKEOFF,SRS_GA,ENGINE_STATUS,26.6,104.9,89.88,11.04,-0.17,28.38,85.0
2026-09-22 12:00:18,TAKEOFF,SRS_GA,ENGINE_STATUS,29.6,110.0,89.81,10.73,-0.94,28.27,84.6
2026-09-22 12:00:20,TAKEOFF,SRS_GA,ENGINE_STATUS,32.0,121.7,89.73,10.32,-0.68,28.14,84.7
2026-09-22 12:00:22,TAKEOFF,SRS_GA,ENGINE_STATUS,35.6,135.0,89.76,11.62,0.93,28.26,84.9
2026-09-22 12:00:24,TAKEOFF,SRS_GA,ENGINE_STATUS,38.2,142.0,89.75,12.07,0.05,28.28,84.7
2026-09-22 12:00:26,TAKEOFF,SRS_GA,ENGINE_STATUS,40.3,148.8,89.76,12.06,0.41,28.32,84.6
2026-09-22 12:00:28,TAKEOFF,SRS_GA,ENGINE_STATUS,43.4,158.1,89.8,11.41,-0.03,28.26,84.8
2026-09-22 12:00:30,TAKEOFF,SRS_GA,ENGINE_STATUS,45.8,165.1,89.85,10.47,0.74,28.34,84.7
2026-09-22 12:00:32,TAKEOFF,SRS_GA,ENGINE_STATUS,48.9,178.9,89.82,12.27,0.01,28.01,84.8
2026-09-22 12:00:34,TAKEOFF,SRS_GA,ENGINE_STATUS,51.6,189.5,89.83,11.22,-0.43,28.12,84.6
2026-09-22 12:00:36,TAKEOFF,SRS_GA,ENGINE_STATUS,54.1,198.6,89.83,12.39,0.75,28.38,84.9
2026-09-22 12:00:38,TAKEOFF,SRS_GA,ENGINE_STATUS,56.7,207.3,89.73,11.3,-0.62,28.29,84.6
2026-09-22 12:00:40,TAKEOFF,SRS_GA,ENGINE_STATUS,59.9,214.0,89.78,12.69,0.26,28.31,85.0
2026-09-22 12:00:42,TAKEOFF,SRS_GA,ENGINE_STATUS,62.4,222.6,89.86,11.24,-0.96,28.37,84.9
2026-09-22 12:00:44,TAKEOFF,SRS_GA,ENGINE_STATUS,66.1,233.7,89.82,12.52,-0.47,28.04,85.0
2026-09-22 12:00:46,TAKEOFF,SRS_GA,ENGINE_STATUS,68.4,243.3,89.79,11.2,-0.07,28.08,84.6
2026-09-22 12:00:48,TAKEOFF,SRS_GA,ENGINE_STATUS,72.1,252.1,89.85,12.5,0.94,28.01,84.7
2026-09-22 12:00:50,TAKEOFF,SRS_GA,ENGINE_STATUS,76.0,258.0,89.77,10.44,0.65,28.3,84.6
2026-09-22 12:00:52,TAKEOFF,SRS_GA,ENGINE_STATUS,79.9,271.7,89.75,10.44,-0.33,28.15,85.0
2026-09-22 12:00:54,TAKEOFF,SRS_GA,ENGINE_STATUS,83.2,284.8,89.7,10.38,0.8,28.01,84.5
