incident_id,flight_id,aircraft_id,incident_timestamp,incident_type,severity,resolution_status,airport
IN0000001,FL0001880,AC01144,2026-06-16 18:41:00,Brake Issue,Medium,Open,ATL
IN0000002,FL0011845,AC01171,2026-05-17 00:36:00,Brake Issue,Low,Closed,DFW
IN0000003,FL0004677,AC00125,2026-03-17 23:53:00,Brake Issue,Medium,Open,ORD
IN0000004,FL0011860,AC00616,2026-01-14 01:50:00,Brake Issue,Low,Closed,LHR
IN0000005,FL0003427,AC01035,2026-03-05 09:00:00,Turbulence,Medium,Open,DEN
IN0000006,FL0007125,AC01150,2026-05-17 06:03:00,Brake Issue,Medium,Closed,LHR
IN0000007,FL0012236,AC00117,2026-05-04 07:15:00,Hydraulic Leak,Low,Resolved,MIA
IN0000008,FL0011389,AC00417,2026-04-25 12:50:00,Turbulence,Medium,Investigating,DEL
IN0000009,FL0008912,AC00614,2026-01-06 21:52:00,Bird Strike,Low,Closed,ORD
IN0000010,FL0011436,AC00753,2026-05-17 04:03:00,Navigation Error,Low,Open,LAX
IN0000011,FL0003876,AC00895,2026-01-19 08:01:00,Turbulence,Low,Closed,ORD
IN0000012,FL0002098,AC00901,2026-05-08 01:22:00,Engine Alert,High,Closed,SIN
IN0000013,FL0002791,AC00764,2026-04-11 07:05:00,Bird Strike,Low,Closed,SEA
IN0000014,FL0009801,AC01020,2026-01-03 06:36:00,Turbulence,Medium,Investigating,ATL
IN0000015,FL0013826,AC00319,2026-04-29 20:45:00,Bird Strike,Critical,Closed,LHR
IN0000016,FL0002536,AC01194,2026-04-04 12:25:00,Navigation Error,Low,Resolved,LAX
IN0000017,FL0011071,AC00775,2026-01-18 01:37:00,Navigation Error,Critical,Open,DEL
IN0000018,FL0007534,AC01090,2026-02-18 19:32:00,Weather Alert,Low,Open,SFO
IN0000019,FL0014793,AC00329,2026-04-29 19:14:00,Weather Alert,Low,Closed,LAX
IN0000020,FL0014894,AC00821,2026-04-25 23:50:00,Engine Alert,Critical,Resolved,ORD
IN0000021,FL0014346,AC00634,2026-06-16 10:32:00,Bird Strike,Low,Open,DFW
IN0000022,FL0007791,AC00091,2026-06-23 14:05:00,Engine Alert,Low,Closed,SIN
IN0000023,FL0010964,AC00556,2026-04-26 07:19:00,Brake Issue,Low,Closed,SIN
IN0000024,FL0005168,AC00079,2026-02-04 13:30:00,Weather Alert,Medium,Closed,DEL
IN0000025,FL0003649,AC00973,2026-06-13 10:42:00,Hydraulic Leak,Low,Open,DXB
IN0000026,FL0010113,AC00418,2026-05-12 11:08:00,Weather Alert,Low,Closed,BLR
