sensor_id,aircraft_id,event_timestamp,sensor_type,sensor_value,unit,anomaly_status
SN000000001,AC01000,2026-03-23 08:03:00,Vibration,9.71,mm/s,Warning
SN000000002,AC00910,2026-03-25 21:14:00,HydraulicPressure,3765.38,psi,Warning
SN000000003,AC00833,2026-05-10 12:50:00,OilPressure,70.38,psi,Normal
SN000000004,AC01132,2026-05-07 17:53:00,Vibration,6.44,mm/s,Normal
SN000000005,AC00822,2026-05-08 06:23:00,Vibration,1.73,mm/s,Normal
SN000000006,AC01015,2026-06-07 02:03:00,OilPressure,82.26,psi,Normal
SN000000007,AC00899,2026-03-03 23:33:00,OilPressure,33.06,psi,Normal
SN000000008,AC00261,2026-01-09 05:47:00,OilPressure,61.59,psi,Normal
SN000000009,AC00246,2026-01-02 08:41:00,EngineTemp,71.3,C,Warning
SN000000010,AC00283,2026-06-13 19:18:00,Vibration,4.64,mm/s,Normal
SN000000011,AC00126,2026-03-22 09:03:00,CabinPressure,5.58,psi,Warning
SN000000012,AC00216,2026-05-01 07:28:00,Vibration,2.76,mm/s,Normal
SN000000013,AC00917,2026-02-05 12:02:00,OilPressure,77.8,psi,Normal
SN000000014,AC00991,2026-02-11 17:49:00,CabinPressure,7.09,psi,Normal
SN000000015,AC00006,2026-04-22 15:59:00,OilPressure,72.72,psi,Normal
SN000000016,AC00911,2026-06-21 06:06:00,FuelFlow,2136.87,kg/h,Normal
SN000000017,AC00269,2026-01-27 22:18:00,OilPressure,69.05,psi,Normal
SN000000018,AC00358,2026-03-13 22:47:00,OilPressure,69.05,psi,Normal
SN000000019,AC00413,2026-04-09 10:05:00,FuelFlow,2375.55,kg/h,Normal
SN000000020,AC00949,2026-04-12 03:13:00,CabinPressure,8.2,psi,Normal
SN000000021,AC00476,2026-05-05 03:00:00,EngineTemp,112.53,C,Normal
SN000000022,AC00284,2026-01-09 09:09:00,Vibration,6.81,mm/s,Normal
SN000000023,AC00105,2026-01-01 02:22:00,Vibration,8.95,mm/s,Warning
SN000000024,AC01002,2026-01-27 08:04:00,Vibration,7.36,mm/s,Normal
SN000000025,AC01039,2026-04-15 11:37:00,EngineTemp,106.5,C,Normal
SN000000026,AC00483,2026-04-27 09:39:00,FuelFlow,2084.97,kg/h,Normal
SN000000027,AC01034,2026-02-20 09:45:00,Vibration,2.27,mm/s,Normal
SN000000028,AC00902,2026-06-05 17:25:00,OilPressure,27.53,psi,Normal
SN000000029,AC00191,2026-01-12 14:53:00,FuelFlow,3185.87,kg/h,Normal
SN000000030,AC00700,2026-04-10 19:41:00,FuelFlow,1397.3,kg/h,Normal
SN000000031,AC00717,2026-06-27 15:50:00,EngineTemp,114.97,C,Normal
SN000000032,AC00208,2026-06-28 10:45:00,HydraulicPressure,3831.6,psi,Warning
SN000000033,AC00136,2026-03-13 18:45:00,Vibration,5.92,mm/s,Normal
SN000000034,AC00600,2026-06-27 07:07:00,FuelFlow,1201.14,kg/h,Normal
SN000000035,AC00228,2026-05-28 22:11:00,OilPressure,68.3,psi,Normal
SN000000036,AC00336,2026-03-26 22:55:00,Vibration,1.74,mm/s,Critical
SN000000037,AC00787,2026-02-28 12:16:00,FuelFlow,2646.46,kg/h,Normal
SN000000038,AC00128,2026-01-01 20:07:00,HydraulicPressure,2882.65,psi,Normal
SN000000039,AC01139,2026-04-27 19:46:00,OilPressure,38.66,psi,Warning
SN000000040,AC00335,2026-05-25 13:46:00,EngineTemp,101.98,C,Normal
SN000000041,AC00387,2026-05-18 09:27:00,EngineTemp,91.36,C,Normal
SN000000042,AC00885,2026-01-27 06:58:00,CabinPressure,7.2,psi,Normal
SN000000043,AC00482,2026-05-09 22:45:00,CabinPressure,5.97,psi,Warning
SN000000044,AC01191,2026-02-10 07:40:00,Vibration,2.49,mm/s,Normal
SN000000045,AC00582,2026-05-30 09:13:00,Vibration,1.4,mm/s,Normal
SN000000046,AC00364,2026-05-01 04:27:00,Vibration,2.51,mm/s,Warning
SN000000047,AC01113,2026-02-01 21:36:00,FuelFlow,2602.3,kg/h,Normal
SN000000048,AC00736,2026-01-18 08:01:00,OilPressure,30.49,psi,Normal
SN000000049,AC00027,2026-05-03 03:02:00,EngineTemp,81.75,C,Normal
SN000000050,AC00186,2026-05-29 13:56:00,HydraulicPressure,2282.24,psi,Normal
SN000000051,AC00868,2026-04-15 23:20:00,EngineTemp,90.33,C,Normal
SN000000052,AC00522,2026-02-23 18:49:00,Vibration,6.7,mm/s,Normal
SN000000053,AC00068,2026-02-11 10:18:00,OilPressure,36.44,psi,Normal
SN000000054,AC00127,2026-06-13 13:40:00,FuelFlow,3091.47,kg/h,Normal
SN000000055,AC00601,2026-05-30 09:31:00,HydraulicPressure,2537.56,psi,Normal
SN000000056,AC00584,2026-04-09 11:56:00,Vibration,5.29,mm/s,Normal
SN000000057,AC01192,2026-04-15 11:36:00,CabinPressure,7.61,psi,Normal
SN000000058,AC01143,2026-04-24 19:59:00,HydraulicPressure,2102.81,psi,Normal
SN000000059,AC00339,2026-01-24 03:59:00,HydraulicPressure,3003.81,psi,Normal
SN000000060,AC01105,2026-05-19 17:09:00,HydraulicPressure,3009.73,psi,Normal
SN000000061,AC00176,2026-06-20 07:38:00,CabinPressure,7.9,psi,Normal
SN000000062,AC00654,2026-06-27 08:38:00,OilPressure,55.48,psi,Normal
SN000000063,AC00415,2026-02-20 07:54:00,CabinPressure,7.51,psi,Normal
SN000000064,AC00816,2026-03-29 18:22:00,OilPressure,35.39,psi,Normal
SN000000065,AC00982,2026-03-31 16:01:00,OilPressure,49.85,psi,Normal
SN000000066,AC01142,2026-02-20 04:46:00,HydraulicPressure,3086.29,psi,Normal
SN000000067,AC00139,2026-03-16 04:25:00,Vibration,1.08,mm/s,Normal
SN000000068,AC01075,2026-02-20 12:23:00,OilPressure,72.24,psi,Normal
SN000000069,AC00361,2026-04-05 19:41:00,Vibration,2.44,mm/s,Normal
SN000000070,AC01137,2026-06-08 23:46:00,HydraulicPressure,2982.73,psi,Normal
SN000000071,AC00920,2026-06-12 21:46:00,Vibration,1.3,mm/s,Normal
SN000000072,AC00453,2026-01-03 00:35:00,FuelFlow,2629.11,kg/h,Normal
SN000000073,AC00551,2026-03-16 09:16:00,EngineTemp,94.41,C,Normal
SN000000074,AC00338,2026-03-06 13:15:00,Vibration,5.01,mm/s,Normal
SN000000075,AC00487,2026-03-23 11:54:00,OilPressure,58.64,psi,Normal
SN000000076,AC00833,2026-02-19 05:28:00,Vibration,6.86,mm/s,Normal
SN000000077,AC00439,2026-02-05 21:11:00,CabinPressure,7.31,psi,Normal
SN000000078,AC00225,2026-05-14 18:58:00,OilPressure,38.05,psi,Normal
SN000000079,AC00391,2026-03-30 10:35:00,Vibration,4.41,mm/s,Normal
SN000000080,AC01182,2026-04-05 14:45:00,Vibration,4.05,mm/s,Normal
SN000000081,AC01008,2026-05-14 04:33:00,EngineTemp,79.26,C,Normal
SN000000082,AC00515,2026-04-14 13:38:00,EngineTemp,98.22,C,Normal
SN000000083,AC01006,2026-03-12 08:02:00,CabinPressure,7.45,psi,Normal
SN000000084,AC00407,2026-02-02 12:33:00,HydraulicPressure,2821.54,psi,Normal
SN000000085,AC00108,2026-05-03 19:11:00,FuelFlow,2428.91,kg/h,Normal
SN000000086,AC00375,2026-04-22 03:29:00,OilPressure,80.58,psi,Normal
SN000000087,AC00112,2026-05-27 06:58:00,FuelFlow,2370.71,kg/h,Normal
SN000000088,AC00100,2026-04-12 01:34:00,EngineTemp,86.89,C,Normal
SN000000089,AC00747,2026-03-29 03:53:00,Vibration,1.02,mm/s,Normal
SN000000090,AC01012,2026-05-11 17:32:00,CabinPressure,7.51,psi,Normal
