flight_id,flight_number,airline,aircraft_id,departure_airport,arrival_airport,scheduled_departure,duration_minutes,distance_km,passengers,status,delay_minutes
FL0000001,AZ8604,PacificAero,AC00026,JFK,SEA,2026-04-25 09:51:00,582,3919,244,Scheduled,10
FL0000002,AZ6405,GlobalWings,AC00887,DXB,SIN,2026-02-04 16:14:00,538,5914,218,Delayed,173
FL0000003,AZ2809,AeroSky,AC00024,DEL,BLR,2026-01-20 20:48:00,562,7938,218,Scheduled,15
FL0000004,AZ6707,GlobalWings,AC00494,SIN,DEN,2026-04-27 17:44:00,96,3898,140,Scheduled,12
FL0000005,AZ8248,AtlanticJet,AC01174,JFK,MIA,2026-06-11 17:22:00,555,7574,258,Completed,3
FL0000006,AZ8428,PacificAero,AC00827,LHR,LAX,2026-02-07 08:54:00,607,252,201,Completed,9
FL0000007,AZ9277,PacificAero,AC00699,DFW,DXB,2026-06-16 02:24:00,881,3902,116,Scheduled,10
FL0000008,AZ5918,AtlanticJet,AC00927,BOS,DEN,2026-05-13 06:30:00,719,3883,103,Completed,10
FL0000009,AZ1852,SkyBridge,AC00218,SIN,ATL,2026-05-17 03:06:00,549,2551,183,Scheduled,13
FL0000010,AZ6890,AeroSky,AC00248,BOS,DFW,2026-03-10 06:46:00,889,3372,264,Completed,3
FL0000011,AZ8789,AtlanticJet,AC00923,BLR,LHR,2026-02-14 20:42:00,561,2455,305,Delayed,1
FL0000012,AZ2203,AeroSky,AC01199,LAX,BOS,2026-06-07 13:57:00,844,3153,296,Scheduled,5
FL0000013,AZ5717,SkyBridge,AC01033,SFO,DXB,2026-04-28 04:18:00,668,4317,248,Completed,12
FL0000014,AZ5243,AtlanticJet,AC00283,DEN,DEL,2026-02-18 13:25:00,811,5147,318,Delayed,220
FL0000015,AZ3013,PacificAero,AC00412,DXB,MIA,2026-03-21 03:10:00,342,5907,195,Delayed,181
FL0000016,AZ7020,AeroSky,AC00237,MIA,SIN,2026-04-28 09:00:00,641,7089,170,Delayed,73
FL0000017,AZ4795,AtlanticJet,AC00781,MIA,JFK,2026-01-10 04:49:00,102,3525,230,Completed,5
FL0000018,AZ9305,GlobalWings,AC00605,ATL,ORD,2026-01-23 14:03:00,78,6126,231,Cancelled,3
FL0000019,AZ6351,NovaAir,AC00487,DXB,LHR,2026-05-22 14:08:00,862,4962,106,In Air,1
FL0000020,AZ3795,AtlanticJet,AC01131,SFO,DEL,2026-04-24 20:00:00,302,3577,182,Completed,14
FL0000021,AZ3006,AtlanticJet,AC01120,DXB,SIN,2026-05-14 21:22:00,839,3420,171,Delayed,114
FL0000022,AZ2231,GlobalWings,AC01053,JFK,DFW,2026-03-05 06:38:00,483,4822,174,Completed,8
