maintenance_id,aircraft_id,maintenance_date,maintenance_type,severity,downtime_hours,cost_usd,status,technician
MT0000001,AC01014,2026-06-20,Avionics Inspection,Medium,51,33634,Completed,Technician-C
MT0000002,AC01192,2026-03-16,Routine Service,Medium,24,56133,Completed,Technician-C
MT0000003,AC00893,2026-01-05,Engine Inspection,Medium,19,29078,In Progress,Technician-A
MT0000004,AC00051,2026-01-30,Hydraulic Check,High,25,73110,Completed,Technician-D
MT0000005,AC00855,2026-03-02,Engine Inspection,Medium,37,36403,Completed,Technician-C
MT0000006,AC01043,2026-02-26,Hydraulic Check,Low,65,14989,Completed,Technician-B
MT0000007,AC00558,2026-03-30,Engine Inspection,Low,71,43474,Completed,Technician-B
MT0000008,AC00424,2026-05-12,Routine Service,Medium,14,9701,Scheduled,Technician-D
MT0000009,AC01003,2026-02-19,Avionics Inspection,Low,46,77343,Completed,Technician-C
MT0000010,AC00227,2026-03-09,Landing Gear,Low,2,83121,Completed,Technician-C
MT0000011,AC00290,2026-04-11,Hydraulic Check,Low,11,82515,Completed,Technician-C
MT0000012,AC00519,2026-04-19,Landing Gear,Low,24,3239,Completed,Technician-A
MT0000013,AC00617,2026-06-24,Avionics Inspection,Medium,7,62680,Completed,Technician-A
MT0000014,AC00832,2026-06-29,Structural Inspection,High,9,32204,In Progress,Technician-B
MT0000015,AC00914,2026-06-10,Landing Gear,Medium,33,19550,Completed,Technician-B
MT0000016,AC00941,2026-01-08,Avionics Inspection,Low,57,23731,Completed,Technician-C
MT0000017,AC00991,2026-01-08,Hydraulic Check,Medium,18,20627,In Progress,Technician-C
MT0000018,AC01170,2026-05-14,Avionics Inspection,High,27,43895,Scheduled,Technician-B
MT0000019,AC00419,2026-03-17,Structural Inspection,Low,36,42645,Completed,Technician-D
MT0000020,AC00776,2026-03-17,Landing Gear,High,24,24281,Completed,Technician-A
MT0000021,AC01010,2026-04-12,Engine Inspection,High,66,27164,Completed,Technician-D
MT0000022,AC00697,2026-03-31,Routine Service,Medium,66,34864,In Progress,Technician-C
MT0000023,AC00888,2026-04-16,Avionics Inspection,Low,43,76924,Completed,Technician-C
MT0000024,AC00280,2026-02-24,Hydraulic Check,Medium,66,64374,Completed,Technician-D
MT0000025,AC00490,2026-01-12,Landing Gear,High,29,73096,Completed,Technician-C
MT0000026,AC01004,2026-04-29,Structural Inspection,Low,63,4979,Completed,Technician-B
MT0000027,AC00985,2026-01-20,Routine Service,Medium,41,47379,Scheduled,Technician-C
MT0000028,AC00392,2026-05-28,Structural Inspection,Low,4,61231,Completed,Technician-C
MT0000029,AC00539,2026-03-07,Hydraulic Check,High,14,17504,Completed,Technician-B
MT0000030,AC00199,2026-03-19,Routine Service,Medium,26,59782,Scheduled,Technician-A
MT0000031,AC01025,2026-07-01,Engine Inspection,Medium,67,43150,Completed,Technician-A
MT0000032,AC00890,2026-05-29,Hydraulic Check,High,39,70527,Completed,Technician-A
MT0000033,AC01094,2026-03-28,Structural Inspection,Medium,4,48319,Completed,Technician-A
MT0000034,AC00167,2026-04-26,Engine Inspection,High,14,7095,Scheduled,Technician-A
MT0000035,AC00026,2026-01-02,Landing Gear,Low,64,54016,Scheduled,Technician-A
MT0000036,AC00579,2026-02-11,Structural Inspection,Medium,29,18659,Completed,Technician-C
MT0000037,AC00593,2026-05-12,Hydraulic Check,High,33,42768,In Progress,Technician-D
MT0000038,AC00394,2026-01-29,Routine Service,Medium,19,9903,In Progress,Technician-B
MT0000039,AC00365,2026-02-18,Hydraulic Check,High,12,84123,In Progress,Technician-A
MT0000040,AC01095,2026-02-13,Landing Gear,Medium,5,19007,Scheduled,Technician-C
MT0000041,AC00960,2026-04-14,Structural Inspection,High,13,48042,Completed,Technician-A
MT0000042,AC00211,2026-06-17,Hydraulic Check,Low,64,52748,In Progress,Technician-B
MT0000043,AC00648,2026-05-03,Engine Inspection,High,13,53746,In Progress,Technician-A
MT0000044,AC00255,2026-01-06,Hydraulic Check,High,69,52796,Scheduled,Technician-A
MT0000045,AC00739,2026-01-07,Structural Inspection,Medium,36,15381,In Progress,Technician-D
MT0000046,AC00147,2026-07-01,Engine Inspection,Low,52,50071,In Progress,Technician-A
MT0000047,AC00821,2026-06-21,Structural Inspection,High,28,57307,Completed,Technician-A
MT0000048,AC00534,2026-04-26,Structural Inspection,High,46,78307,Completed,Technician-D
MT0000049,AC00600,2026-03-27,Structural Inspection,Low,12,75258,Scheduled,Technician-B
MT0000050,AC00110,2026-05-01,Structural Inspection,Low,20,82031,Completed,Technician-C
MT0000051,AC00341,2026-03-30,Avionics Inspection,Medium,20,52667,Completed,Technician-C
MT0000052,AC00318,2026-03-24,Structural Inspection,High,32,38437,Completed,Technician-A
MT0000053,AC00227,2026-02-28,Engine Inspection,High,20,73119,In Progress,Technician-C
MT0000054,AC00011,2026-07-02,Engine Inspection,Low,25,72295,In Progress,Technician-B
MT0000055,AC00108,2026-02-22,Hydraulic Check,Low,63,33876,Completed,Technician-C
MT0000056,AC00668,2026-03-25,Routine Service,Low,69,1680,Completed,Technician-A
MT0000057,AC00707,2026-04-20,Avionics Inspection,Medium,41,28556,Completed,Technician-D
MT0000058,AC00917,2026-05-15,Avionics Inspection,Medium,16,41018,Completed,Technician-B
MT0000059,AC00116,2026-01-27,Landing Gear,Medium,5,7492,In Progress,Technician-D
MT0000060,AC01109,2026-02-25,Landing Gear,Low,12,56856,Completed,Technician-D
MT0000061,AC00407,2026-06-11,Hydraulic Check,Medium,58,50303,Completed,Technician-A
MT0000062,AC00307,2026-03-04,Structural Inspection,Low,5,28843,Completed,Technician-D
MT0000063,AC00486,2026-03-29,Landing Gear,Medium,65,31924,Completed,Technician-D
MT0000064,AC00991,2026-06-26,Avionics Inspection,Low,6,48199,Completed,Technician-D
MT0000065,AC01145,2026-06-09,Engine Inspection,Medium,6,64143,Completed,Technician-A
MT0000066,AC00871,2026-03-30,Hydraulic Check,Low,3,52818,In Progress,Technician-D
MT0000067,AC00936,2026-06-08,Structural Inspection,High,41,575,Completed,Technician-C
MT0000068,AC01168,2026-03-04,Structural Inspection,Low,63,44767,Completed,Technician-B
MT0000069,AC00387,2026-03-19,Landing Gear,Medium,37,26149,Scheduled,Technician-D
MT0000070,AC00049,2026-02-03,Engine Inspection,Low,3,79284,Scheduled,Technician-A
MT0000071,AC00257,2026-06-27,Engine Inspection,Low,26,7935,Completed,Technician-D
MT0000072,AC00764,2026-05-02,Landing Gear,Low,15,40337,Completed,Technician-A
MT0000073,AC01048,2026-06-06,Routine Service,Low,65,6230,In Progress,Technician-B
MT0000074,AC00452,2026-01-01,Avionics Inspection,Medium,42,28334,Completed,Technician-A
MT0000075,AC00379,2026-04-16,Avionics Inspection,Low,41,29924,In Progress,Technician-B
MT0000076,AC00002,2026-03-05,Avionics Inspection,Low,37,22798,Completed,Technician-C
MT0000077,AC00244,2026-04-23,Hydraulic Check,High,13,74262,Completed,Technician-C
MT0000078,AC01017,2026-06-15,Routine Service,Low,4,34464,Completed,Technician-B
MT0000079,AC01119,2026-02-22,Structural Inspection,Medium,34,68867,Scheduled,Technician-B
MT0000080,AC00666,2026-01-05,Routine Service,High,34,57508,Completed,Technician-C
MT0000081,AC00861,2026-05-25,Engine Inspection,Low,68,713,Scheduled,Technician-D
MT0000082,AC00192,2026-05-01,Avionics Inspection,Low,68,28799,In Progress,Technician-A
MT0000083,AC00570,2026-05-05,Engine Inspection,Medium,33,57811,Completed,Technician-B
MT0000084,AC00126,2026-03-22,Engine Inspection,Medium,42,78932,Scheduled,Technician-A
MT0000085,AC00052,2026-03-22,Avionics Inspection,Medium,57,41414,Completed,Technician-A
MT0000086,AC00927,2026-02-08,Hydraulic Check,Low,46,17146,Completed,Technician-C
